Row Labels,State,Sum of Impressions,Sum of Clicks,Sum of CTR
AK,Alaska,19512,63,0.00323
AL,Alabama,119196,376,0.00315
AR,Arkansas,55970,157,0.00281
AZ,Arizona,185120,527,0.00285
CA,California,1089852,3250,0.00298
CO,Colorado,227018,610,0.00269
CT,Connecticut,95720,291,0.00304
DC,district of columbia,113124,324,0.00286
DE,Delaware,25196,68,0.0027
FL,Florida,781268,2005,0.00257
GA,Georgia,451892,1305,0.00289
HI,Hawaii,33170,104,0.00314
IA,Iowa,93121,202,0.00217
ID,Idaho,40041,109,0.00272
IL,Illinois,490879,1201,0.00245
IN,Indiana,181836,479,0.00263
KS,Kansas,74711,181,0.00242
KY,Kentucky,102074,288,0.00282
LA,Louisiana,119827,356,0.00297
MA,Massachusetts,251768,778,0.00309
MD,Maryland,147041,441,0.003
ME,Maine,42450,272,0.00641
MI,Michigan,326439,994,0.00304
MN,Minnesota,224125,554,0.00247
MO,Missouri,214067,498,0.00233
MS,Mississippi,46153,150,0.00325
MT,Montana,24965,54,0.00216
NC,North Carolina,369640,979,0.00265
ND,North Dakota,20475,41,0.002
NE,Nebraska,92049,215,0.00234
NH,New Hampshire,34827,81,0.00233
NJ,New Jersey,293975,860,0.00293
NM,New Mexico,55204,159,0.00288
NV,Nevada,87883,296,0.00337
NY,New York,617510,2079,0.00337
OH,Ohio,419732,1181,0.00281
OK,Oklahoma,102428,287,0.0028
OR,Oregon,196281,377,0.00192
PA,Pennsylvania,467741,1313,0.00281
RI,Rhode Island,27193,89,0.00327
SC,South Carolina,104379,359,0.00344
SD,South Dakota,23015,55,0.00239
TN,Tennessee,233921,586,0.00251
TX,Texas,1049064,2638,0.00251
UT,Utah,104578,254,0.00243
VA,Virginia,454042,749,0.00165
VT,Vermont,16696,62,0.00371
WA,Washington,222165,542,0.00244
WI,Wisconsin,213702,574,0.00269
WV,West Virginia,31402,107,0.00341
WY,Wyoming,15673,39,0.00249
